country,date,sector,value20,value21,,country,date,sector,value20a,valuie21a,,,country,date,sector,value20b,value21b,,,country,date,sector,value20c,value21c,,country,date,sector,value20d,value21d
Brazil,1/9/2020,Power,0.318397,0.342736,,Brazil,1/9/2020,Industry,0.331882,0.355859,,,Brazil,1/9/2020,Domestic Aviation,0.0330129,0.0292404,,,Brazil,1/9/2020,International Aviation,0.0188783,0.00731656,,Brazil,1/9/2020,Residential,0.0984519,0.0984519
China,1/9/2020,Power,15.2242,16.6804,,China,1/9/2020,Industry,9.58381,11.2726,,,China,1/9/2020,Domestic Aviation,0.166207,0.160371,,,China,1/9/2020,International Aviation,0.0876839,0.0292875,,China,1/9/2020,Residential,3.666,4.46778
EU27 & UK,1/9/2020,Power,2.99482,3.20924,,EU27 & UK,1/9/2020,Industry,1.79375,1.84945,,,EU27 & UK,1/9/2020,Domestic Aviation,0.0407674,0.0140831,,,EU27 & UK,1/9/2020,International Aviation,0.411132,0.173624,,EU27 & UK,1/9/2020,Residential,2.32731,3.359
India,1/9/2020,Power,3.3197,3.36942,,India,1/9/2020,Industry,2.09329,1.95857,,,India,1/9/2020,Domestic Aviation,0.0200853,0.0158131,,,India,1/9/2020,International Aviation,0.0354883,0.0164242,,India,1/9/2020,Residential,2.01431,0.849994
ROW,1/9/2020,Power,9.81301,9.08025,,ROW,1/9/2020,Industry,9.59091,9.18886,,,ROW,1/9/2020,Domestic Aviation,0.180453,0.108034,,,ROW,1/9/2020,International Aviation,0.774694,0.352303,,ROW,1/9/2020,Residential,5.39111,5.86009
Russia,1/9/2020,Power,2.70516,2.52443,,Russia,1/9/2020,Industry,0.65909,0.620371,,,Russia,1/9/2020,Domestic Aviation,0.0410638,0.0468289,,,Russia,1/9/2020,International Aviation,0.0345189,0.0120262,,Russia,1/9/2020,Residential,0.765887,0.875773
United States,1/9/2020,Power,3.70857,4.78376,,United States,1/9/2020,Industry,2.73491,3.02191,,,United States,1/9/2020,Domestic Aviation,0.490857,0.302897,,,United States,1/9/2020,International Aviation,0.214954,0.127949,,United States,1/9/2020,Residential,3.00349,3.2367
WORLD,1/9/2020,Power,39.6916,41.8343,,WORLD,1/9/2020,Industry,27.4514,28.9201,,,WORLD,1/9/2020,Domestic Aviation,0.994169,0.69286,,,WORLD,1/9/2020,International Aviation,1.63284,0.740957,,WORLD,1/9/2020,Residential,17.7544,19.5258
Brazil,1/10/2020,Power,0.329852,0.327053,,Brazil,1/10/2020,Industry,0.343822,0.339575,,,Brazil,1/10/2020,Domestic Aviation,0.0353972,0.0246497,,,Brazil,1/10/2020,International Aviation,0.0204989,0.00837672,,Brazil,1/10/2020,Residential,0.0984519,0.0984519
China,1/10/2020,Power,15.5569,16.8705,,China,1/10/2020,Industry,9.79323,11.4011,,,China,1/10/2020,Domestic Aviation,0.184145,0.170864,,,China,1/10/2020,International Aviation,0.0883396,0.0316207,,China,1/10/2020,Residential,3.65677,4.26499
EU27 & UK,1/10/2020,Power,2.90551,2.80822,,EU27 & UK,1/10/2020,Industry,1.74026,1.61835,,,EU27 & UK,1/10/2020,Domestic Aviation,0.0447609,0.0192288,,,EU27 & UK,1/10/2020,International Aviation,0.448377,0.176019,,EU27 & UK,1/10/2020,Residential,2.494,3.31614
India,1/10/2020,Power,3.3018,3.32788,,India,1/10/2020,Industry,2.082,1.93442,,,India,1/10/2020,Domestic Aviation,0.0215445,0.0157903,,,India,1/10/2020,International Aviation,0.0374553,0.01762,,India,1/10/2020,Residential,2.38445,1.08631
