country,date,sector,value20,,country,date,sector,value21,,Country,date,sector,value19
China,1/6/2020,Domestic Aviation,0.169253,,China,1/6/2021,Domestic Aviation,0.161628,,China,6/1/2019,Domestic Aviation,0.164577
China,1/6/2020,Ground Transport,2.58108,,China,1/6/2021,Ground Transport,2.49966,,China,6/1/2019,Ground Transport,2.45338
China,1/6/2020,Industry,9.82813,,China,1/6/2021,Industry,11.3748,,China,6/1/2019,Industry,10.3363
China,1/6/2020,International Aviation,0.0820213,,China,1/6/2021,International Aviation,0.030072,,China,6/1/2019,International Aviation,0.0816107
China,1/6/2020,Power,15.6124,,China,1/6/2021,Power,16.8316,,China,6/1/2019,Power,14.7079
China,1/6/2020,Residential,3.18831,,China,1/6/2021,Residential,4.55385,,China,6/1/2019,Residential,3.8922
India,1/6/2020,Domestic Aviation,0.0214552,,India,1/6/2021,Domestic Aviation,0.0163943,,India,6/1/2019,Domestic Aviation,0.0199796
India,1/6/2020,Ground Transport,0.854194,,India,1/6/2021,Ground Transport,0.836434,,India,6/1/2019,Ground Transport,0.783472
India,1/6/2020,Industry,2.08976,,India,1/6/2021,Industry,2.00063,,India,6/1/2019,Industry,2.01411
India,1/6/2020,International Aviation,0.034192,,India,1/6/2021,International Aviation,0.0158069,,India,6/1/2019,International Aviation,0.0370906
India,1/6/2020,Power,3.31411,,India,1/6/2021,Power,3.44178,,India,6/1/2019,Power,3.25382
India,1/6/2020,Residential,1.6355,,India,1/6/2021,Residential,0.644392,,India,6/1/2019,Residential,1.32894
Russia,1/6/2020,Domestic Aviation,0.0425984,,Russia,1/6/2021,Domestic Aviation,0.0414907,,Russia,6/1/2019,Domestic Aviation,0.0371817
Russia,1/6/2020,Ground Transport,0.590308,,Russia,1/6/2021,Ground Transport,0.591036,,Russia,6/1/2019,Ground Transport,0.476144
Russia,1/6/2020,Industry,0.638995,,Russia,1/6/2021,Industry,0.608198,,Russia,6/1/2019,Industry,0.623219
Russia,1/6/2020,International Aviation,0.0304828,,Russia,1/6/2021,International Aviation,0.00883061,,Russia,6/1/2019,International Aviation,0.0325036
Russia,1/6/2020,Power,2.62269,,Russia,1/6/2021,Power,2.47489,,Russia,6/1/2019,Power,2.87391
Russia,1/6/2020,Residential,0.739018,,Russia,1/6/2021,Residential,0.927126,,Russia,6/1/2019,Residential,0.917056
Brazil,1/7/2020,Domestic Aviation,0.0340563,,Brazil,1/7/2021,Domestic Aviation,0.0293565,,Brazil,7/1/2019,Domestic Aviation,0.0327922
Brazil,1/7/2020,Ground Transport,0.480847,,Brazil,1/7/2021,Ground Transport,0.442639,,Brazil,7/1/2019,Ground Transport,0.459458
Brazil,1/7/2020,Industry,0.331161,,Brazil,1/7/2021,Industry,0.358538,,Brazil,7/1/2019,Industry,0.251875
Brazil,1/7/2020,International Aviation,0.0189361,,Brazil,1/7/2021,International Aviation,0.00702976,,Brazil,7/1/2019,International Aviation,0.0211263
