country,date,sector,value20,value21,,country,date,sector,value20a,value21a,,country,date,sector,value20b,value21b,,country,date,sector,value20c,value21c,,country,date,sector,value20d,value21d,,country,date,sector,value20e,value21e
China,1/19/2020,Power,13.307,16.0177,,China,1/19/2020,Industry,8.37688,10.8248,,China,1/19/2020,Domestic Aviation,0.191651,0.144381,,China,1/19/2020,International Aviation,0.092503,0.0289605,,China,1/19/2020,Ground Transport,2.15707,2.476,,China,1/19/2020,Residential,3.71846,3.65172
India,1/19/2020,Power,3.13761,3.73921,,India,1/19/2020,Industry,1.97846,2.17352,,India,1/19/2020,Domestic Aviation,0.0208429,0.0152741,,India,1/19/2020,International Aviation,0.0360398,0.0143712,,India,1/19/2020,Ground Transport,0.787075,0.82407,,India,1/19/2020,Residential,1.7944,1.17883
Russia,1/19/2020,Power,2.57446,2.90636,,Russia,1/19/2020,Industry,0.627245,0.714228,,Russia,1/19/2020,Domestic Aviation,0.0400142,0.0329189,,Russia,1/19/2020,International Aviation,0.0335352,0.00869074,,Russia,1/19/2020,Ground Transport,0.590223,0.6973,,Russia,1/19/2020,Residential,0.749714,1.11376
Brazil,1/20/2020,Power,0.323234,0.331524,,Brazil,1/20/2020,Industry,0.336924,0.344217,,Brazil,1/20/2020,Domestic Aviation,0.0342451,0.0267769,,Brazil,1/20/2020,International Aviation,0.0202472,0.00744224,,Brazil,1/20/2020,Ground Transport,0.470619,0.453415,,Brazil,1/20/2020,Residential,0.0984519,0.0984519
China,1/20/2020,Power,13.0239,15.9648,,China,1/20/2020,Industry,8.19868,10.7891,,China,1/20/2020,Domestic Aviation,0.191338,0.148552,,China,1/20/2020,International Aviation,0.0880042,0.0351754,,China,1/20/2020,Ground Transport,2.43418,2.4694,,China,1/20/2020,Residential,3.60162,3.31241
India,1/20/2020,Power,3.34872,3.82081,,India,1/20/2020,Industry,2.11158,2.22096,,India,1/20/2020,Domestic Aviation,0.02081,0.0162483,,India,1/20/2020,International Aviation,0.0347014,0.0172326,,India,1/20/2020,Ground Transport,0.857862,0.826289,,India,1/20/2020,Residential,1.88269,1.27575
Russia,1/20/2020,Power,2.68519,2.91893,,Russia,1/20/2020,Industry,0.654224,0.717319,,Russia,1/20/2020,Domestic Aviation,0.0416906,0.0349893,,Russia,1/20/2020,International Aviation,0.0292538,0.0103057,,Russia,1/20/2020,Ground Transport,0.686091,0.696723,,Russia,1/20/2020,Residential,0.768647,1.09728
Brazil,1/21/2020,Power,0.326385,0.319523,,Brazil,1/21/2020,Industry,0.340208,0.331757,,Brazil,1/21/2020,Domestic Aviation,0.0352512,0.0264814,,Brazil,1/21/2020,International Aviation,0.0193191,0.00638014,,Brazil,1/21/2020,Ground Transport,0.48935,0.466669,,Brazil,1/21/2020,Residential,0.0984519,0.0984519
China,1/21/2020,Power,12.2769,16.0547,,China,1/21/2020,Industry,7.7284,10.8498,,China,1/21/2020,Domestic Aviation,0.190752,0.137596,,China,1/21/2020,International Aviation,0.092708,0.0346857,,China,1/21/2020,Ground Transport,2.38304,2.45341,,China,1/21/2020,Residential,3.37698,3.2524
India,1/21/2020,Power,3.41163,3.8604,,India,1/21/2020,Industry,2.15125,2.24397,,India,1/21/2020,Domestic Aviation,0.0202459,0.0157534,,India,1/21/2020,International Aviation,0.0345601,0.0178771,,India,1/21/2020,Ground Transport,0.855025,0.824142,,India,1/21/2020,Residential,1.71534,1.4357
