country,date,sector,value20,,country,date,sector,value21,,country,date,sector,value19
Brazil,1/4/2020,Industry,0.337311,,Brazil,1/4/2021,Industry,0.366312,,Brazil,4/1/2019,Industry,0.246056
Brazil,1/4/2020,International Aviation,0.0213272,,Brazil,1/4/2021,International Aviation,0.00787728,,Brazil,4/1/2019,International Aviation,0.0205183
Brazil,1/4/2020,Power,0.323605,,Brazil,1/4/2021,Power,0.352804,,Brazil,4/1/2019,Power,0.11037
Brazil,1/4/2020,Residential,0.0984519,,Brazil,1/4/2021,Residential,0.0984519,,Brazil,4/1/2019,Residential,0.0984519
China,1/4/2020,Domestic Aviation,0.177159,,China,1/4/2021,Domestic Aviation,0.172875,,China,4/1/2019,Domestic Aviation,0.164228
China,1/4/2020,Ground Transport,2.4387,,China,1/4/2021,Ground Transport,2.48775,,China,4/1/2019,Ground Transport,2.57404
China,1/4/2020,Industry,9.60034,,China,1/4/2021,Industry,11.2698,,China,4/1/2019,Industry,10.2667
China,1/4/2020,International Aviation,0.088578,,China,1/4/2021,International Aviation,0.0243764,,China,4/1/2019,International Aviation,0.0785603
China,1/4/2020,Power,15.2505,,China,1/4/2021,Power,16.6761,,China,4/1/2019,Power,14.609
China,1/4/2020,Residential,3.27873,,China,1/4/2021,Residential,3.86042,,China,4/1/2019,Residential,3.82645
EU27 & UK,1/4/2020,Domestic Aviation,0.0348177,,EU27 & UK,1/4/2021,Domestic Aviation,0.023476,,EU27 & UK,4/1/2019,Domestic Aviation,0.0422933
EU27 & UK,1/4/2020,Ground Transport,2.1797,,EU27 & UK,1/4/2021,Ground Transport,2.46211,,EU27 & UK,4/1/2019,Ground Transport,2.40048
EU27 & UK,1/4/2020,Industry,1.2051,,EU27 & UK,1/4/2021,Industry,1.6732,,EU27 & UK,4/1/2019,Industry,1.77196
EU27 & UK,1/4/2020,International Aviation,0.489925,,EU27 & UK,1/4/2021,International Aviation,0.172878,,EU27 & UK,4/1/2019,International Aviation,0.461629
EU27 & UK,1/4/2020,Power,2.01201,,EU27 & UK,1/4/2021,Power,2.90341,,EU27 & UK,4/1/2019,Power,3.5412
EU27 & UK,1/4/2020,Residential,2.65245,,EU27 & UK,1/4/2021,Residential,3.08165,,EU27 & UK,4/1/2019,Residential,3.27783
India,1/4/2020,Domestic Aviation,0.0213587,,India,1/4/2021,Domestic Aviation,0.0162235,,India,4/1/2019,Domestic Aviation,0.0204366
India,1/4/2020,Ground Transport,0.841096,,India,1/4/2021,Ground Transport,0.833372,,India,4/1/2019,Ground Transport,0.842256
India,1/4/2020,Industry,2.16407,,India,1/4/2021,Industry,1.97122,,India,4/1/2019,Industry,2.13425
India,1/4/2020,International Aviation,0.0376314,,India,1/4/2021,International Aviation,0.0124238,,India,4/1/2019,International Aviation,0.0377498
India,1/4/2020,Power,3.43196,,India,1/4/2021,Power,3.39118,,India,4/1/2019,Power,3.4479
India,1/4/2020,Residential,1.55666,,India,1/4/2021,Residential,0.589828,,India,4/1/2019,Residential,1.6022
ROW,1/4/2020,Domestic Aviation,0.183573,,ROW,1/4/2021,Domestic Aviation,0.145371,,ROW,4/1/2019,Domestic Aviation,0.189743
ROW,1/4/2020,Ground Transport,5.51694,,ROW,1/4/2021,Ground Transport,5.62268,,ROW,4/1/2019,Ground Transport,5.48807
ROW,1/4/2020,Industry,8.8618,,ROW,1/4/2021,Industry,9.64219,,ROW,4/1/2019,Industry,9.63618
ROW,1/4/2020,International Aviation,0.872034,,ROW,1/4/2021,International Aviation,0.3112,,ROW,4/1/2019,International Aviation,0.787372
ROW,1/4/2020,Power,9.0692,,ROW,1/4/2021,Power,9.32852,,ROW,4/1/2019,Power,9.85933
ROW,1/4/2020,Residential,5.05801,,ROW,1/4/2021,Residential,5.18599,,ROW,4/1/2019,Residential,5.32728
Russia,1/4/2020,Domestic Aviation,0.0405575,,Russia,1/4/2021,Domestic Aviation,0.0417591,,Russia,4/1/2019,Domestic Aviation,0.0402467
Russia,1/4/2020,Ground Transport,0.602143,,Russia,1/4/2021,Ground Transport,0.577423,,Russia,4/1/2019,Ground Transport,0.514962
Russia,1/4/2020,Industry,0.637093,,Russia,1/4/2021,Industry,0.613754,,Russia,4/1/2019,Industry,0.61876
Russia,1/4/2020,International Aviation,0.0370518,,Russia,1/4/2021,International Aviation,0.0105675,,Russia,4/1/2019,International Aviation,0.0307936
Russia,1/4/2020,Power,2.61488,,Russia,1/4/2021,Power,2.4975,,Russia,4/1/2019,Power,2.85335
Russia,1/4/2020,Residential,0.717294,,Russia,1/4/2021,Residential,0.863192,,Russia,4/1/2019,Residential,0.877773
United States,1/4/2020,Domestic Aviation,0.492464,,United States,1/4/2021,Domestic Aviation,0.362072,,United States,4/1/2019,Domestic Aviation,0.483353
United States,1/4/2020,Ground Transport,4.279,,United States,1/4/2021,Ground Transport,3.81016,,United States,4/1/2019,Ground Transport,4.62338
United States,1/4/2020,Industry,2.69125,,United States,1/4/2021,Industry,2.82152,,United States,4/1/2019,Industry,2.92426
