country,date,sector,value,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,
ROW,1/6/2020,Power,9.65587,,,ROW,1/6/2020,Industry,9.38693,,,,ROW,1/6/2020,Domestic Aviation,0.200266,,,,ROW,1/6/2020,International Aviation,0.81255,,,,ROW,1/6/2020,Ground Transport,6.31284,,,,ROW,1/6/2020,Residential,5.5942,,
Russia,1/6/2020,Power,2.62269,,,Russia,1/6/2020,Industry,0.638995,,,,Russia,1/6/2020,Domestic Aviation,0.0425984,,,,Russia,1/6/2020,International Aviation,0.0304828,,,,Russia,1/6/2020,Ground Transport,0.590308,,,,Russia,1/6/2020,Residential,0.739018,,
United States,1/6/2020,Power,3.82137,,,United States,1/6/2020,Industry,2.81232,,,,United States,1/6/2020,Domestic Aviation,0.498417,,,,United States,1/6/2020,International Aviation,0.233545,,,,United States,1/6/2020,Ground Transport,4.333,,,,United States,1/6/2020,Residential,2.81644,,
WORLD,1/6/2020,Power,39.4414,,,WORLD,1/6/2020,Industry,27.23,,,,WORLD,1/6/2020,Domestic Aviation,1.03759,,,,WORLD,1/6/2020,International Aviation,1.72618,,,,WORLD,1/6/2020,Ground Transport,17.7965,,,,WORLD,1/6/2020,Residential,17.5281,,
Brazil,1/7/2020,Power,0.317706,,,Brazil,1/7/2020,Industry,0.331161,,,,Brazil,1/7/2020,Domestic Aviation,0.0340563,,,,Brazil,1/7/2020,International Aviation,0.0189361,,,,Brazil,1/7/2020,Ground Transport,0.480847,,,,Brazil,1/7/2020,Residential,0.0984519,,
China,1/7/2020,Power,15.6474,,,China,1/7/2020,Industry,9.85018,,,,China,1/7/2020,Domestic Aviation,0.175264,,,,China,1/7/2020,International Aviation,0.0866091,,,,China,1/7/2020,Ground Transport,2.59584,,,,China,1/7/2020,Residential,3.4986,,
EU27 & UK,1/7/2020,Power,2.87603,,,EU27 & UK,1/7/2020,Industry,1.7226,,,,EU27 & UK,1/7/2020,Domestic Aviation,0.0419835,,,,EU27 & UK,1/7/2020,International Aviation,0.418079,,,,EU27 & UK,1/7/2020,Ground Transport,2.63721,,,,EU27 & UK,1/7/2020,Residential,2.768,,
India,1/7/2020,Power,3.40035,,,India,1/7/2020,Industry,2.14414,,,,India,1/7/2020,Domestic Aviation,0.0210049,,,,India,1/7/2020,International Aviation,0.0349201,,,,India,1/7/2020,Ground Transport,0.854858,,,,India,1/7/2020,Residential,1.42109,,
ROW,1/7/2020,Power,9.87728,,,ROW,1/7/2020,Industry,9.57744,,,,ROW,1/7/2020,Domestic Aviation,0.197035,,,,ROW,1/7/2020,International Aviation,0.763719,,,,ROW,1/7/2020,Ground Transport,6.46172,,,,ROW,1/7/2020,Residential,5.58712,,
Russia,1/7/2020,Power,2.64758,,,Russia,1/7/2020,Industry,0.64506,,,,Russia,1/7/2020,Domestic Aviation,0.0421522,,,,Russia,1/7/2020,International Aviation,0.0320908,,,,Russia,1/7/2020,Ground Transport,0.546429,,,,Russia,1/7/2020,Residential,0.77195,,
